"","x"
"1",22262
"2",21756
"3",22247
"4",22759
"5",22549
"6",22313
"7",22128
"8",21860
"9",21751
"10",21336
"11",21363
"12",22176
"13",24649
"14",27466
"15",31020
"16",33529
"17",35428
"18",36034
"19",36834
"20",37296
"21",37338
"22",37608
"23",37692
"24",37944
"25",37880
"26",37493
"27",37065
"28",36855
"29",36871
"30",36837
"31",36603
"32",36982
"33",37369
"34",37650
"35",37413
"36",36475
"37",35486
"38",34452
"39",33704
"40",32883
"41",31940
"42",32215
"43",32572
"44",32850
"45",32251
"46",30895
"47",28460
"48",26572
"49",25093
"50",24320
"51",24684
"52",25338
"53",24943
"54",24637
"55",24424
"56",24163
"57",23943
"58",23324
"59",23412
"60",24065
"61",26035
"62",28632
"63",32023
"64",34315
"65",35927
"66",36367
"67",37087
"68",37184
"69",37009
"70",37212
"71",37531
"72",37890
"73",37982
"74",37540
"75",37160
"76",36920
"77",37060
"78",36930
"79",36640
"80",36910
"81",37220
"82",37530
"83",37320
"84",36331
"85",35206
"86",34203
"87",33273
"88",32376
"89",31838
"90",31211
"91",31505
"92",31838
"93",32185
"94",30881
"95",28800
"96",26833
"97",25095
"98",24437
"99",24697
"100",25259
"101",25029
"102",24806
"103",24437
"104",24279
"105",23902
"106",23418
"107",23424
"108",24094
"109",26039
"110",28636
"111",32034
"112",34235
"113",35694
"114",35978
"115",36475
"116",36675
"117",36720
"118",36842
"119",36890
"120",36917
"121",36854
"122",36525
"123",36431
"124",36212
"125",36061
"126",35931
"127",35835
"128",36148
"129",36523
"130",36859
"131",36731
"132",35804
"133",34721
"134",34035
"135",33234
"136",32532
"137",31474
"138",31957
"139",32500
"140",32586
"141",31917
"142",30636
"143",28705
"144",26707
"145",25092
"146",24412
"147",24714
"148",25079
"149",24904
"150",24380
"151",24009
"152",23913
"153",23657
"154",23262
"155",23283
"156",23870
"157",26001
"158",28448
"159",31876
"160",34363
"161",35819
"162",36295
"163",36949
"164",37095
"165",37086
"166",37520
"167",37540
"168",37671
"169",37695
"170",37314
"171",37113
"172",36796
"173",36705
"174",36634
"175",36357
"176",36664
"177",37020
"178",37152
"179",36836
"180",36008
"181",34981
"182",34265
"183",33385
"184",32477
"185",31966
"186",31402
"187",31703
"188",32192
"189",32322
"190",30972
"191",28910
"192",26992
"193",25324
"194",24684
"195",24893
"196",25092
"197",24751
"198",24238
"199",23906
"200",23755
"201",23625
"202",23027
"203",23097
"204",23692
"205",25936
"206",28501
"207",31838
"208",34308
"209",36305
"210",36743
"211",37705
"212",37980
"213",38084
"214",38379
"215",38526
"216",38429
"217",38344
"218",37785
"219",37495
"220",37190
"221",37010
"222",36641
"223",36296
"224",36309
"225",36532
"226",36662
"227",36229
"228",35321
"229",34409
"230",33425
"231",32708
"232",31460
"233",30955
"234",30274
"235",30302
"236",30427
"237",30154
"238",29311
"239",27699
"240",26213
"241",24756
"242",23847
"243",23917
"244",23989
"245",23555
"246",23026
"247",22668
"248",22451
"249",21969
"250",21212
"251",20978
"252",21155
"253",22370
"254",23537
"255",25210
"256",26961
"257",28770
"258",29915
"259",30895
"260",31273
"261",31390
"262",31287
"263",31163
"264",30811
"265",30310
"266",29767
"267",29016
"268",28374
"269",28064
"270",27599
"271",27338
"272",27156
"273",27355
"274",27860
"275",28315
"276",28396
"277",27932
"278",27776
"279",27520
"280",27026
"281",26649
"282",26343
"283",26487
"284",27219
"285",27384
"286",26680
"287",25658
"288",24258
"289",22864
"290",21998
"291",22165
"292",22308
"293",21863
"294",21439
"295",21067
"296",20781
"297",20389
"298",19663
"299",19305
"300",19410
"301",20079
"302",20701
"303",21639
"304",22722
"305",24046
"306",25150
"307",26285
"308",27420
"309",28438
"310",28770
"311",29309
"312",29586
"313",29721
"314",29598
"315",28776
"316",28008
"317",27487
"318",27272
"319",27091
"320",27156
"321",27190
"322",27461
"323",27722
"324",27583
"325",27575
"326",27512
"327",27603
"328",27155
"329",27250
"330",27200
"331",27798
"332",28487
"333",28691
"334",27260
"335",25371
"336",23689
"337",22454
"338",21818
"339",22002
"340",22516
"341",22292
"342",21935
"343",21683
"344",21656
"345",21481
"346",21140
"347",21308
"348",22138
"349",24699
"350",27366
"351",30973
"352",33497
"353",35192
"354",35624
"355",36444
"356",36903
"357",36944
"358",37223
"359",37345
"360",37710
"361",37641
"362",37391
"363",37116
"364",37017
"365",37024
"366",36882
"367",36605
"368",36861
"369",37241
"370",37550
"371",37215
"372",36203
"373",35035
"374",34112
"375",33482
"376",32349
"377",31186
"378",30920
"379",30270
"380",31869
"381",31651
"382",30821
"383",28528
"384",26675
"385",25129
"386",24425
"387",24538
"388",24577
"389",24215
"390",24012
"391",23723
"392",23546
"393",23379
"394",22857
"395",22939
"396",23464
"397",25734
"398",28240
"399",31600
"400",34011
"401",35567
"402",35946
"403",36733
"404",36963
"405",37009
"406",37100
"407",37265
"408",37478
"409",37462
"410",37040
"411",36778
"412",36679
"413",36570
"414",36509
"415",36433
"416",36730
"417",37125
"418",37359
"419",36995
"420",36149
"421",34845
"422",33986
"423",33353
"424",32595
"425",31833
"426",31382
"427",31264
"428",31805
"429",32067
"430",30723
"431",28736
"432",26800
"433",25296
"434",24612
"435",24614
"436",24699
"437",24358
"438",23930
"439",23690
"440",23720
"441",23472
"442",23233
"443",23376
"444",23913
"445",26027
"446",28641
"447",32093
"448",34598
"449",36118
"450",36505
"451",37295
"452",37562
"453",37546
"454",37734
"455",38071
"456",38204
"457",38233
"458",37710
"459",37459
"460",37224
"461",37208
"462",36962
"463",36837
"464",37151
"465",37602
"466",38055
"467",37780
"468",36832
"469",35861
"470",35202
"471",34347
"472",33562
"473",32860
"474",32606
"475",32578
"476",32552
"477",32256
"478",30893
"479",28956
"480",26926
"481",25339
"482",24677
"483",24774
"484",24932
"485",24615
"486",24244
"487",23962
"488",23970
"489",23624
"490",23113
"491",23221
"492",23940
"493",26205
"494",28582
"495",32017
"496",34569
"497",36166
"498",36510
"499",37250
"500",37372
"501",37318
"502",37333
"503",37611
"504",37736
"505",37756
"506",37275
"507",37010
"508",36926
"509",36837
"510",36726
"511",36449
"512",36734
"513",37067
"514",37174
"515",36824
"516",35980
"517",34953
"518",34235
"519",33350
"520",32664
"521",31923
"522",31603
"523",31736
"524",32134
"525",31993
"526",30956
"527",28861
"528",27012
"529",25267
"530",24560
"531",24415
"532",24490
"533",24057
"534",23680
"535",23440
"536",23432
"537",23184
"538",22774
"539",22930
"540",23579
"541",25821
"542",28193
"543",31647
"544",34117
"545",35590
"546",36167
"547",36741
"548",36768
"549",36783
"550",36991
"551",37115
"552",37224
"553",37439
"554",36822
"555",36375
"556",36126
"557",35805
"558",35478
"559",35161
"560",35123
"561",35226
"562",35435
"563",35062
"564",34357
"565",33239
"566",32583
"567",31586
"568",30604
"569",30091
"570",29610
"571",29462
"572",29893
"573",30100
"574",29071
"575",27660
"576",26242
"577",24618
"578",23740
"579",23600
"580",23350
"581",22870
"582",22390
"583",22082
"584",21823
"585",21548
"586",20867
"587",20671
"588",20948
"589",22106
"590",23295
"591",25222
"592",27075
"593",28876
"594",30152
"595",31325
"596",31720
"597",31770
"598",31694
"599",31507
"600",31267
"601",30679
"602",30227
"603",29601
"604",29002
"605",28670
"606",28308
"607",28101
"608",28074
"609",28364
"610",28772
"611",29191
"612",29118
"613",28661
"614",28005
"615",27536
"616",26823
"617",25958
"618",25897
"619",25390
"620",26690
"621",27855
"622",27276
"623",26136
"624",24839
"625",23579
"626",22570
"627",22269
"628",21878
"629",21405
"630",21024
"631",20766
"632",20541
"633",20232
"634",19485
"635",19279
"636",19342
"637",19895
"638",20744
"639",21849
"640",23073
"641",24670
"642",25975
"643",27186
"644",27996
"645",28736
"646",28957
"647",29271
"648",29490
"649",29371
"650",29068
"651",28394
"652",27685
"653",27330
"654",27130
"655",26901
"656",26873
"657",26930
"658",27084
"659",27216
"660",27139
"661",27040
"662",26990
"663",27063
"664",27059
"665",26716
"666",26960
"667",27133
"668",27954
"669",28947
"670",28247
"671",26477
"672",24635
"673",23168
"674",22498
"675",22272
"676",22291
"677",22054
"678",21737
"679",21774
"680",21654
"681",21462
"682",21173
"683",21521
"684",22334
"685",24897
"686",27609
"687",31136
"688",33625
"689",35517
"690",36628
"691",37545
"692",37995
"693",38086
"694",38389
"695",38715
"696",38777
"697",38699
"698",38307
"699",37894
"700",37832
"701",37717
"702",37563
"703",37294
"704",37604
"705",37640
"706",37584
"707",37196
"708",36090
"709",35053
"710",34283
"711",33378
"712",32754
"713",31904
"714",31817
"715",31795
"716",32467
"717",32401
"718",31574
"719",29600
"720",27540
"721",25752
"722",25196
"723",24938
"724",24740
"725",24465
"726",24187
"727",23923
"728",23837
"729",23611
"730",23198
"731",23350
"732",23994
"733",26223
"734",28568
"735",31749
"736",34325
"737",35968
"738",36745
"739",37427
"740",37718
"741",37880
"742",38206
"743",38488
"744",38657
"745",38762
"746",38230
"747",37990
"748",37673
"749",37673
"750",37530
"751",37455
"752",37622
"753",37993
"754",38264
"755",37712
"756",36707
"757",35667
"758",34737
"759",33728
"760",32967
"761",31725
"762",31408
"763",30991
"764",31696
"765",32234
"766",30990
"767",28949
"768",26904
"769",25308
"770",24764
"771",24417
"772",24377
"773",23924
"774",23583
"775",23373
"776",23398
"777",23322
"778",23038
"779",22992
"780",23673
"781",25741
"782",28276
"783",31602
"784",34031
"785",35538
"786",36017
"787",36993
"788",37420
"789",37409
"790",37412
"791",37547
"792",37664
"793",37564
"794",37271
"795",36915
"796",36791
"797",36625
"798",36357
"799",36265
"800",36582
"801",37072
"802",37238
"803",36884
"804",35890
"805",34723
"806",33724
"807",32888
"808",32110
"809",31263
"810",30907
"811",30953
"812",31413
"813",31264
"814",30239
"815",28562
"816",26606
"817",24808
"818",24126
"819",23858
"820",23809
"821",23535
"822",23123
"823",23025
"824",22977
"825",22759
"826",22478
"827",22584
"828",23160
"829",25369
"830",27933
"831",31222
"832",33533
"833",35135
"834",35717
"835",36555
"836",36843
"837",36885
"838",37138
"839",37311
"840",37550
"841",37619
"842",37199
"843",36951
"844",36844
"845",36785
"846",36624
"847",36350
"848",36614
"849",37167
"850",37388
"851",36880
"852",36185
"853",35197
"854",34300
"855",33586
"856",32645
"857",32269
"858",31671
"859",31998
"860",31890
"861",31643
"862",30227
"863",28309
"864",26457
"865",24818
"866",23982
"867",23887
"868",23898
"869",23618
"870",23263
"871",22987
"872",22990
"873",22764
"874",22399
"875",22589
"876",23219
"877",25275
"878",27918
"879",31219
"880",33642
"881",35220
"882",35757
"883",36569
"884",36876
"885",36928
"886",37087
"887",37191
"888",37439
"889",37385
"890",36914
"891",36253
"892",35983
"893",35707
"894",35269
"895",34879
"896",34885
"897",35075
"898",35346
"899",35131
"900",34313
"901",33544
"902",32824
"903",32102
"904",31035
"905",30421
"906",30052
"907",30107
"908",30249
"909",30060
"910",28893
"911",27258
"912",25692
"913",24039
"914",23381
"915",23128
"916",23016
"917",22516
"918",22196
"919",21834
"920",21720
"921",21384
"922",20703
"923",20462
"924",20707
"925",21880
"926",23026
"927",24656
"928",26407
"929",28200
"930",29479
"931",30652
"932",31175
"933",31370
"934",31497
"935",31436
"936",31377
"937",30833
"938",30254
"939",29571
"940",28827
"941",28635
"942",28406
"943",28136
"944",28065
"945",28262
"946",28945
"947",29254
"948",29355
"949",29091
"950",28699
"951",28218
"952",27876
"953",27371
"954",26955
"955",26786
"956",27440
"957",27474
"958",26648
"959",25523
"960",24304
"961",22914
"962",22095
"963",21902
"964",21947
"965",21516
"966",21077
"967",20723
"968",20501
"969",20234
"970",19590
"971",19194
"972",19374
"973",19962
"974",20551
"975",21558
"976",22652
"977",23820
"978",25012
"979",26294
"980",27372
"981",28278
"982",28957
"983",29437
"984",29743
"985",30032
"986",29798
"987",28856
"988",28128
"989",27602
"990",27416
"991",27185
"992",26997
"993",27165
"994",27555
"995",27727
"996",27887
"997",27803
"998",27657
"999",27749
"1000",27593
"1001",27626
"1002",27495
"1003",27509
"1004",27996
"1005",28413
"1006",27306
"1007",25514
"1008",23667
"1009",22428
"1010",21687
"1011",21865
"1012",21984
"1013",21701
"1014",21514
"1015",21395
"1016",21224
"1017",21188
"1018",20759
"1019",20948
"1020",21826
"1021",24283
"1022",26965
"1023",30507
"1024",33060
"1025",34783
"1026",35322
"1027",36130
"1028",36494
"1029",36593
"1030",36826
"1031",36985
"1032",37098
"1033",37200
"1034",36654
"1035",36464
"1036",36257
"1037",36157
"1038",36098
"1039",35959
"1040",36207
"1041",36559
"1042",36790
"1043",36577
"1044",35727
"1045",34602
"1046",33578
"1047",32714
"1048",31926
"1049",31142
"1050",30833
"1051",31109
"1052",31310
"1053",31236
"1054",30184
"1055",28147
"1056",26299
"1057",24702
"1058",23875
"1059",23785
"1060",23876
"1061",23658
"1062",23346
"1063",23059
"1064",23039
"1065",22859
"1066",22414
"1067",22518
"1068",23241
"1069",25541
"1070",28017
"1071",31278
"1072",33530
"1073",35240
"1074",35783
"1075",36372
"1076",36610
"1077",36651
"1078",36835
"1079",37248
"1080",37128
"1081",37230
"1082",36841
"1083",36529
"1084",36500
"1085",36445
"1086",36348
"1087",36152
"1088",36282
"1089",36853
"1090",37137
"1091",36844
"1092",35875
"1093",34589
"1094",33987
"1095",32959
"1096",32015
"1097",31847
"1098",31404
"1099",31501
"1100",31824
"1101",31759
"1102",30395
"1103",28511
"1104",26709
"1105",24940
"1106",24165
"1107",24078
"1108",24101
"1109",23755
"1110",23378
"1111",23122
"1112",23155
"1113",22902
"1114",22598
"1115",22661
"1116",23335
"1117",25540
"1118",28023
"1119",31383
"1120",33907
"1121",35592
"1122",36022
"1123",36643
"1124",36976
"1125",36985
"1126",37123
"1127",37144
"1128",37385
"1129",37334
"1130",36914
"1131",36630
"1132",36433
"1133",36461
"1134",36246
"1135",36131
"1136",36534
"1137",37099
"1138",37346
"1139",37098
"1140",36145
"1141",34997
"1142",34342
"1143",33431
"1144",33088
"1145",32201
"1146",32185
"1147",31966
"1148",32214
"1149",31736
"1150",30325
"1151",28319
"1152",26480
"1153",24966
"1154",24194
"1155",24143
"1156",24020
"1157",23750
"1158",23398
"1159",23179
"1160",23197
"1161",23163
"1162",22808
"1163",22887
"1164",23495
"1165",25600
"1166",28064
"1167",31494
"1168",33985
"1169",35754
"1170",35972
"1171",36855
"1172",37135
"1173",37159
"1174",37282
"1175",37347
"1176",37408
"1177",37444
"1178",37066
"1179",36874
"1180",36696
"1181",36707
"1182",36456
"1183",36362
"1184",36506
"1185",36831
"1186",37268
"1187",36851
"1188",36027
"1189",34950
"1190",34149
"1191",33515
"1192",32938
"1193",32777
"1194",32443
"1195",32620
"1196",32453
"1197",31486
"1198",30006
"1199",28139
"1200",26396
"1201",24714
"1202",24047
"1203",24050
"1204",24083
"1205",23671
"1206",23354
"1207",22935
"1208",23009
"1209",23004
"1210",22721
"1211",22911
"1212",23404
"1213",25429
"1214",27965
"1215",31283
"1216",33772
"1217",35443
"1218",35929
"1219",36898
"1220",37272
"1221",37270
"1222",37363
"1223",37445
"1224",37550
"1225",37543
"1226",36995
"1227",36620
"1228",36032
"1229",35843
"1230",35606
"1231",35131
"1232",35079
"1233",35341
"1234",35546
"1235",35305
"1236",34459
"1237",33526
"1238",32835
"1239",32000
"1240",31136
"1241",30696
"1242",30054
"1243",29993
"1244",30178
"1245",29786
"1246",28757
"1247",27433
"1248",25781
"1249",24272
"1250",23520
"1251",23361
"1252",23268
"1253",22677
"1254",22324
"1255",21853
"1256",21854
"1257",21574
"1258",21078
"1259",20827
"1260",21003
"1261",22034
"1262",23208
"1263",24792
"1264",26592
"1265",28313
"1266",29687
"1267",30737
"1268",31531
"1269",31785
"1270",31805
"1271",31710
"1272",31593
"1273",31228
"1274",30907
"1275",30011
"1276",29356
"1277",28974
"1278",28618
"1279",28268
"1280",28292
"1281",28518
"1282",29006
"1283",29463
"1284",29508
"1285",29035
"1286",28476
"1287",28005
"1288",27658
"1289",26955
"1290",26327
"1291",26569
"1292",27221
"1293",27427
"1294",26845
"1295",25780
"1296",24384
"1297",23084
"1298",22221
"1299",22108
"1300",21854
"1301",21401
"1302",21023
"1303",20711
"1304",20569
"1305",20217
"1306",19687
"1307",19391
"1308",19433
"1309",20108
"1310",20674
"1311",21676
"1312",22689
"1313",24104
"1314",25283
"1315",26606
"1316",27556
"1317",28707
"1318",29415
"1319",29983
"1320",30335
"1321",30650
"1322",30474
"1323",29654
"1324",28741
"1325",28299
"1326",27957
"1327",28013
"1328",27779
"1329",27966
"1330",28383
"1331",28508
"1332",28442
"1333",28272
"1334",28345
"1335",28120
"1336",27929
"1337",27848
"1338",27868
"1339",28378
"1340",29042
"1341",28948
"1342",27699
"1343",25889
"1344",24053
"1345",22627
"1346",21979
"1347",22025
"1348",22158
"1349",21906
"1350",21615
"1351",21366
"1352",21327
"1353",21257
"1354",21032
"1355",21261
"1356",22085
"1357",24437
"1358",27187
"1359",30833
"1360",33448
"1361",35245
"1362",35900
"1363",36798
"1364",37251
"1365",37335
"1366",37677
"1367",37887
"1368",38066
"1369",38091
"1370",37784
"1371",37622
"1372",37408
"1373",37354
"1374",37172
"1375",36995
"1376",37311
"1377",37693
"1378",37887
"1379",37446
"1380",36451
"1381",35267
"1382",34434
"1383",33733
"1384",32812
"1385",32061
"1386",32089
"1387",32345
"1388",32564
"1389",32096
"1390",30702
"1391",28412
"1392",26445
"1393",24933
"1394",24205
"1395",24262
"1396",24154
"1397",23786
"1398",23431
"1399",23268
"1400",23290
